elements;C;C++;Java;JS;Python2;Python3;PHP;PHP with xDebug
500;528;460;2775;2393;14170;16835;6407;38907
1000;2137;1786;4059;2956;55593;69745;23269;153936
1500;4873;4046;6141;4017;118254;160626;51268;346085
2000;8040;8378;9058;5462;209000;286347;90696;619712
2500;12066;11411;12523;7986;323254;472574;143192;961919
3000;17658;16585;17067;9585;465193;647836;203495;1391984
3500;24141;22566;22057;12137;632270;891138;278753;1877002
4000;30302;32062;32491;15165;822364;1170227;360853;2454223
4500;38103;37015;35096;19935;1053857;1494315;467462;3102260
5000;46968;44993;39020;24606;1287112;1829866;570340;3840737
5500;56132;54745;48729;29148;1598522;2243927;690777;4667864
6000;66405;64969;57019;33906;1850962;2641421;837809;5512579
6500;77562;75558;70164;38469;2176950;3126370;968575;6532013
7000;89739;88061;85989;44861;2530312;3602430;1118758;7526435
7500;104107;99807;93373;52155;3023364;4127318;1290291;8639684
8000;117555;114079;99437;57650;3282829;4732727;1469741;9786560
8500;134780;129385;119992;61252;3736793;5422445;1650626;11083429
9000;148928;144672;134527;67958;4163897;6155871;1819168;12449962
9500;165377;160714;141566;76349;4678648;6632419;2056825;13843653
10000;182757;179275;152299;83921;5139593;7424641;2245208;15378895
